Annee,Emissions(t_eq_CO2)-Total,Emissions(t_eq_CO2)-Transports,Emissions(t_eq_CO2)-Industries,"Emissions(t_eq_CO2)-Résidentiel, commercial et institutionnel",Emissions(t_eq_CO2)-Agriculture,Emissions(t_eq_CO2)-Matières résiduelles,Emissions(t_eq_CO2)-Électricité
1990,85250459.2175258,27205485.607768934,32076667.083719533,11215346.23886536,7117843.566882197,6242370.08362637,1392746.6366634
1991,80962321.61496101,25625062.05247798,31148125.63675487,10487911.066395447,6986794.834668348,6356778.411306374,357649.613358
1992,80119356.53268749,26172075.75017,29461678.170093626,11191209.793528464,6920532.140152527,5544630.472564463,829230.2061784
1993,81316942.18740313,27105873.920343164,30497406.7558052,11312666.032868188,6845626.246622398,5414276.753083176,141092.478681
1994,82742139.33137798,28468245.696911395,30575615.660125155,11301351.169118354,6903481.220883197,5293981.997220886,199463.587119
1995,82931497.76627651,28882826.086433765,30130293.792379927,11256062.177748818,6973976.482660857,5541952.622793945,146386.604259199
1996,82984099.38141073,29058947.593059182,30038761.626674064,11597120.617614802,7075151.241212887,5082510.987321403,131607.315528401
1997,83838578.94937803,29781853.100227054,30307412.53905282,11343307.19262128,7309202.950587337,4913876.62289854,182926.543991
1998,85172106.6171307,30463142.950431988,30540828.605240237,10137456.833695864,7413942.546951467,5058890.238885344,1557845.4419258
1999,84655403.1078659,31048532.65317292,28947968.709171146,10498097.161046209,7522661.126785027,5699893.862476191,938249.595214399
2000,84599580.22612074,30826222.600376558,29387672.932170898,11648594.727371113,7347981.898592477,5057468.898938886,331639.168670801
2001,82470518.23920582,30247793.49469638,28186820.334068153,10843017.639062183,7602759.1615802795,5223678.150697427,366449.459101401
2002,84108595.09637973,30903517.80975488,28499230.265942123,11515311.815975524,7682460.964219719,5272380.395387082,235693.8451004
2003,89587431.07159592,32875209.348264705,29354287.262920685,12803740.46869651,7602665.78817656,5441654.079204453,1509874.124333
2004,89041131.64598411,33218471.74084494,29471966.030204188,12377562.341598932,7891072.295454733,4826596.48975512,1255462.7481262
2005,86210642.41533831,33162160.298125867,28741452.51795873,11165915.784832513,7729127.607276883,5034447.890717715,377538.3164266
2006,85146789.1528847,33070632.716549482,29129654.163134567,9894076.876722181,7728587.7765674265,5110266.432902245,213571.1870088
2007,88987196.97692922,34332615.85192779,30870271.295704145,10285351.706019973,7929901.885460243,5319508.259737072,249547.97808
2008,84589371.62462226,34507890.89702451,27585783.87875885,9296912.405663542,7859977.878971481,5105396.200413873,233410.36379
2009,83440908.01027429,34097137.4273884,26210849.72346447,9990479.45968945,7808115.05840364,4952334.292418332,381992.04891
2010,81261633.55465735,34016158.62666547,25462233.79127162,9018179.199955361,7824281.6994315265,4733105.014463385,207675.22287
2011,81915382.65329716,35302295.32466923,25295533.32689924,8705855.238332175,7795095.7305088565,4601621.89913765,214981.13375
2012,80205072.55732363,34681669.394955344,25405460.407559473,7517757.030718363,7907737.049836547,4485129.548238352,207319.126015557
2013,79868424.97994445,34171355.732913256,25392312.756413884,7654704.432187782,7987979.687857467,4447975.780199629,214096.590372438
2014,78373733.08109112,32672668.093626317,25354189.993578907,7923847.093759384,7771818.537766953,4429153.000706493,222056.361653068
2015,78544237.64576375,33350869.630064446,24383069.072121594,8060022.967361727,7860338.888416319,4695534.265120599,194402.822679066
2016,78511760.58922152,33674750.2885673,23479451.557967667,8198808.456878967,7900277.952212583,5032628.751579891,225843.582015116
2017,81118179.60639456,35614823.698580235,24506756.850095823,8162234.108416379,7821707.86410443,4783654.0727019105,229003.012495776
2018,81042209.75984535,35689195.45703645,24496687.99445843,8051766.870821214,7919519.430784957,4649875.053229402,235164.953514886
2019,82715577.44308299,36465357.39752469,25149831.841197144,8304410.522391907,7922154.44577599,4648563.968624338,225259.267568924
2020,74015634.11308208,31644125.499897607,22674129.006131127,7098309.590758065,7875815.91802371,4494205.653127999,229048.44514357
